Признак,Важность
num__ppda,0.38051857325350563
num__deep,0.21471120950319464
num__shots_team,0.13344212192973381
num__xGoals_team,0.1328393714193116
num__corners,0.09370538793056041
num__shotsOnTarget,0.025643502554566138
num__fouls,0.006122058767041317
num__teamID,0.004354792981134445
num__gameID,0.0031603335361110297
num__season,0.001842097321840901
num__yellowCards,0.0011912844492483745
num__leagueID,0.0008699895650575851
cat__league_name_Ligue 1,0.0005665151850233911
cat__league_name_La Liga,0.0002691074847996365
num__redCards,0.00023467855239141055
cat__league_name_Premier League,0.00022926556634269736
cat__league_name_Serie A,0.00019788712709119103
cat__league_name_Bundesliga,0.00010182287304574804
