iter	MultiClass
0	1.067894575
1	1.039616293
2	1.014717643
3	0.9893822266
4	0.9676424575
5	0.9464249553
6	0.9270414122
7	0.9132722755
8	0.8976106685
9	0.8819567933
10	0.8693163514
11	0.8562718463
12	0.8436378432
13	0.8322486191
14	0.8221928398
15	0.811937253
16	0.8021394724
17	0.7936354885
18	0.785282934
19	0.7770145733
20	0.7702970525
21	0.763341051
22	0.7567777837
23	0.7499104726
24	0.742495183
25	0.7350263136
26	0.7296902812
27	0.724714094
28	0.7197406116
29	0.7151678942
30	0.7095179633
31	0.7054912184
32	0.7020341077
33	0.698861999
34	0.6942132935
35	0.6914492086
36	0.6877963495
37	0.6850034253
38	0.68116379
39	0.6779775984
40	0.6756040254
41	0.672177135
42	0.6705965798
43	0.6681974455
44	0.6657868271
45	0.6622401244
46	0.660296318
47	0.6586235444
48	0.6566399653
49	0.6547506208
50	0.6521983167
51	0.650890539
52	0.6487821169
53	0.6465635206
54	0.645203144
55	0.6433486599
56	0.6421976452
57	0.6412324305
58	0.6407739041
59	0.6404017481
60	0.6397570026
61	0.6384911482
62	0.6375141941
63	0.6368973084
64	0.6358539477
65	0.633751416
66	0.6328256842
67	0.6322011956
68	0.6315743414
69	0.6308331596
70	0.6304407554
71	0.6292622406
72	0.6287534898
73	0.627854771
74	0.6273515589
75	0.6267471179
76	0.6258837974
77	0.6249719236
78	0.6245174215
79	0.6239310152
80	0.6234901086
81	0.6231358322
82	0.6227042575
83	0.6219263367
84	0.6213721088
85	0.6210665211
86	0.6197343512
87	0.6191296506
88	0.6190239611
89	0.6178529827
90	0.6173320162
91	0.6170362411
92	0.6167739342
93	0.6162204637
94	0.6158214615
95	0.615009633
96	0.6144021468
97	0.6138122259
98	0.613216065
99	0.6129753441
100	0.611751256
101	0.6111295326
102	0.6109904226
103	0.6107919992
104	0.6104639773
105	0.6100404957
106	0.6090298904
107	0.6086873
108	0.6084677558
109	0.6082291923
110	0.6076275243
111	0.6071251867
112	0.6064878734
113	0.60635383
114	0.6062164887
115	0.6060818793
116	0.6059827897
117	0.6058420033
118	0.6057268467
119	0.605602045
120	0.6049119257
121	0.6046540675
122	0.6045716844
123	0.6043168033
124	0.6038346277
125	0.6033420815
126	0.6031411541
127	0.6028407843
128	0.6027149352
129	0.6025433724
130	0.6023114617
131	0.6022294348
132	0.601990138
133	0.6018719183
134	0.6018110476
135	0.601692045
136	0.6014174744
137	0.6010142535
138	0.6008973083
139	0.6005063068
140	0.5998809737
141	0.599698887
142	0.5996120234
143	0.5995240595
144	0.5987179214
145	0.5985676943
146	0.5985114552
147	0.5983482006
148	0.5982333934
149	0.597901846
150	0.5976292722
151	0.5971412498
152	0.596804911
153	0.5967309764
154	0.5965892188
155	0.5960369341
156	0.5957542703
157	0.5953834625
158	0.5950843042
159	0.5947698865
160	0.5944831482
161	0.5943705312
162	0.5942721156
163	0.5941825324
164	0.5936838627
165	0.5936163405
166	0.5933174715
167	0.5931899812
168	0.5929275732
169	0.5921707701
170	0.5917074497
171	0.5916118607
172	0.5914916946
173	0.5902436458
174	0.590039401
175	0.5898664071
176	0.5896866413
177	0.5895881976
178	0.5893997715
179	0.5891625033
180	0.5889443235
181	0.58886512
182	0.5888370242
183	0.5887757411
184	0.5887362903
185	0.5882514066
186	0.5873684037
187	0.5872746287
188	0.5865111027
189	0.5861811615
190	0.5861245727
191	0.5859419572
192	0.5857959107
193	0.5856985434
194	0.5856468915
195	0.5855426784
196	0.5853432377
197	0.5852155004
198	0.5842018976
199	0.5840851459
200	0.5839639803
201	0.5828442057
202	0.5827619102
203	0.5825979268
204	0.5824433505
205	0.5816593272
206	0.581589033
207	0.5814286258
208	0.5807968369
209	0.5806548216
210	0.5805828189
211	0.5804629065
212	0.5801643733
213	0.5799363596
214	0.5798422192
215	0.5793782575
216	0.5791176053
217	0.5790477405
218	0.5789681516
219	0.5788215537
220	0.5787264127
221	0.5785592179
222	0.5784369222
223	0.5782204554
224	0.5780453388
225	0.5777817379
226	0.5772725956
227	0.5771242684
228	0.5770987069
229	0.5770012831
230	0.5768987592
231	0.5763651788
232	0.5759000781
233	0.5758363162
234	0.5757434713
235	0.5754265774
236	0.5751647429
237	0.575071024
238	0.5750078653
239	0.5743976946
240	0.5742995517
241	0.5738499107
242	0.5737273827
243	0.5729184763
244	0.5727478018
245	0.5722642328
246	0.5720882373
247	0.571464088
248	0.5713687919
249	0.5712223574
250	0.5711377705
251	0.5710521597
252	0.5704282251
253	0.5701533724
254	0.5698904075
255	0.5698125576
256	0.5694799864
257	0.5693610809
258	0.5692988469
259	0.5691933897
260	0.569098826
261	0.5689773384
262	0.5686809861
263	0.5685587166
264	0.5684202747
265	0.5683497606
266	0.5682629819
267	0.5679628879
268	0.5678655661
269	0.5677908848
270	0.567701094
271	0.5675952067
272	0.5672126771
273	0.5670082186
274	0.5669377427
275	0.5667650693
276	0.5667115611
277	0.5666287121
278	0.5663638802
279	0.5662289373
280	0.5659899208
281	0.5659164382
282	0.5658460513
283	0.5657182703
284	0.5656304935
285	0.5653618639
286	0.5650328213
287	0.5649539905
288	0.5648242549
289	0.5647445481
290	0.5645615361
291	0.5643509005
292	0.5642793866
293	0.564198108
294	0.5641028788
295	0.5639471283
296	0.5638890062
297	0.5637777558
298	0.5636903812
299	0.5636114836
