iter	Passed	Remaining
0	61	18482
1	69	10340
2	78	7759
3	87	6485
4	94	5579
5	103	5072
6	110	4616
7	121	4445
8	129	4181
9	135	3918
10	141	3729
11	149	3577
12	155	3436
13	162	3312
14	164	3122
15	166	2954
16	168	2807
17	170	2676
18	173	2558
19	175	2452
20	177	2354
21	179	2266
22	181	2185
23	183	2109
24	185	2041
25	187	1979
26	190	1921
27	192	1868
28	194	1819
29	196	1772
30	199	1729
31	201	1688
32	204	1650
33	206	1613
34	208	1577
35	210	1544
36	212	1512
37	214	1481
38	217	1453
39	219	1426
40	222	1405
41	224	1381
42	227	1357
43	229	1334
44	231	1311
45	233	1290
46	235	1270
47	238	1250
48	240	1232
49	242	1213
50	245	1196
51	247	1178
52	249	1162
53	251	1146
54	253	1130
55	256	1115
56	258	1101
57	260	1086
58	262	1073
59	264	1059
60	267	1046
61	269	1034
62	271	1021
63	274	1012
64	277	1004
65	279	992
66	282	981
67	284	971
68	287	962
69	289	952
70	292	942
71	294	932
72	296	922
73	298	912
74	301	903
75	303	893
76	305	883
77	307	875
78	310	868
79	312	859
80	315	851
81	317	843
82	320	837
83	322	829
84	324	820
85	326	812
86	328	804
87	331	797
88	333	790
89	335	782
90	337	775
91	340	769
92	343	764
93	345	758
94	348	752
95	350	745
96	353	739
97	356	734
98	358	728
99	360	721
100	362	715
101	365	709
102	368	704
103	370	698
104	372	691
105	374	685
106	376	679
107	379	673
108	381	668
109	383	662
110	386	657
111	388	651
112	390	646
113	392	640
114	395	635
115	397	630
116	399	624
117	402	621
118	404	615
119	407	610
120	409	605
121	411	600
122	414	595
123	416	590
124	418	585
125	420	580
126	422	575
127	424	570
128	426	565
129	429	561
130	431	556
131	433	551
132	435	547
133	437	542
134	439	537
135	442	533
136	444	528
137	447	524
138	449	520
139	451	515
140	453	511
141	455	506
142	457	502
143	459	498
144	462	494
145	464	489
146	466	485
147	468	481
148	471	477
149	473	473
150	476	470
151	479	466
152	481	462
153	483	458
154	486	455
155	488	451
156	490	447
157	493	443
158	495	439
159	497	435
160	500	431
161	502	428
162	504	424
163	506	420
164	508	416
165	511	412
166	513	409
167	515	405
168	518	401
169	520	398
170	522	394
171	525	390
172	527	387
173	529	383
174	532	380
175	534	376
176	536	372
177	538	369
178	540	365
179	542	361
180	545	358
181	547	354
182	549	351
183	552	348
184	554	344
185	556	341
186	558	337
187	561	334
188	563	330
189	565	327
190	567	323
191	569	320
192	571	317
193	573	313
194	575	310
195	578	306
196	580	303
197	582	300
198	585	297
199	588	294
200	590	290
201	592	287
202	595	284
203	597	281
204	599	278
205	602	274
206	604	271
207	607	268
208	609	265
209	611	262
210	613	258
211	615	255
212	618	252
213	620	249
214	622	246
215	625	243
216	627	239
217	629	236
218	631	233
219	634	230
220	636	227
221	638	224
222	640	221
223	642	218
224	645	215
225	647	211
226	650	209
227	652	206
228	654	202
229	656	199
230	658	196
231	661	193
232	663	190
233	666	187
234	668	184
235	670	181
236	672	178
237	674	175
238	676	172
239	679	169
240	682	166
241	684	163
242	686	161
243	688	158
244	691	155
245	693	152
246	695	149
247	698	146
248	700	143
249	702	140
250	704	137
251	706	134
252	710	131
253	712	128
254	714	126
255	716	123
256	719	120
257	721	117
258	724	114
259	726	111
260	728	108
261	731	106
262	733	103
263	735	100
264	737	97
265	739	94
266	741	91
267	744	88
268	746	86
269	749	83
270	751	80
271	753	77
272	755	74
273	758	71
274	760	69
275	762	66
276	765	63
277	768	60
278	770	58
279	773	55
280	775	52
281	777	49
282	780	46
283	782	44
284	785	41
285	787	38
286	789	35
287	791	32
288	793	30
289	796	27
290	798	24
291	800	21
292	802	19
293	804	16
294	807	13
295	810	10
296	812	8
297	814	5
298	816	2
299	818	0
